Judul,Nama Penulis,Pembimbing I,Pembimbing II,Abstrak,Prodi,Label,abstrak_tokens
SISTEM PENENTUAN STATUS GIZI PASIEN RAWAT INAPMENGGUNAKAN METODE NAÃVE BAYES CLASSIFIER(STUDI KASUS : RSUD DR. H. SLAMETMARTODIRDJO PAMEKASAN),Nur Anggraeni,"Diana Rahmawati, ST.M.T","Firli Irhamni, ST.M.Kom",indonesia perkembangan gizi yangperlu perhatian statusgizinya mengontrol giziyang dibutuhkan tubuh penelitian dirancang aplikasisistem pendukung keputusan menentukan statusgizi pasien solusi pasien sesuai riwayatpenyakit derita pasien sistem dirancang berbasis web memudahkan admin ahli gizi rumah sakit dalampenentuan status gizi pasien diharapkan aplikasi inidapat efisien efektifitas kinerja metode penelitian menggunakannaãve bayes classifier nbc metode terbaru untukmemprediksi probabilitas metode naãve bayes classifier melakukanproses penentuan perhitungan probabilitas status gizi dimana dicarinilai probabilitas terbesar kesimpulanpenentuan status gizi metode diterapkan studi sistempenentuan status gizi pasien hasil akurasi terbesar kunci naãve bayes classifier sistem pendukung keputusan status gizi web, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['indonesia', 'perkembangan', 'gizi', 'yangperlu', 'perhatian', 'statusgizinya', 'mengontrol', 'giziyang', 'dibutuhkan', 'tubuh', 'penelitian', 'dirancang', 'aplikasisistem', 'pendukung', 'keputusan', 'menentukan', 'statusgizi', 'pasien', 'solusi', 'pasien', 'sesuai', 'riwayatpenyakit', 'derita', 'pasien', 'sistem', 'dirancang', 'berbasis', 'web', 'memudahkan', 'admin', 'ahli', 'gizi', 'rumah', 'sakit', 'dalampenentuan', 'status', 'gizi', 'pasien', 'diharapkan', 'aplikasi', 'inidapat', 'efisien', 'efektifitas', 'kinerja', 'metode', 'penelitian', 'menggunakannaãve', 'bayes', 'classifier', 'nbc', 'metode', 'terbaru', 'untukmemprediksi', 'probabilitas', 'metode', 'naãve', 'bayes', 'classifier', 'melakukanproses', 'penentuan', 'perhitungan', 'probabilitas', 'status', 'gizi', 'dimana', 'dicarinilai', 'probabilitas', 'terbesar', 'kesimpulanpenentuan', 'status', 'gizi', 'metode', 'diterapkan', 'studi', 'sistempenentuan', 'status', 'gizi', 'pasien', 'hasil', 'akurasi', 'terbesar', 'kunci', 'naãve', 'bayes', 'classifier', 'sistem', 'pendukung', 'keputusan', 'status', 'gizi', 'web']"
PENGENALAN TULISAN TANGAN HURUF ALFABETDENGAN METODE MODIFIED DIRECTION FEATURE (MDF)DAN LEARNING VECTOR QUANTIZATION (LVQ),Hilyati Safitri,"Fitri Damayanti S.Kom., M.Kom","Kurniawan Eka Permana S.Kom., M.Sc.",pengenalan tulisan tangan topik penelitian populer peneliti usaha usaha sistem pengenalan tulisan tangan otomatis teknik berbeda penelitian membahas pengembangan sistem pengenalan tulisan tangan offline pencirian lokal karakter karakter tulisan tangan salah faktor penentu pengenalan tulisan tangan model bentuk tulisan tangan penulis dikenali penulis memiliki gaya menulis bentuk tulisan tangan berbeda metode pengenalan pola tulisan tangan penelitian modified direction feature mdf proses ekstraksi fitur learning vector quantization lvq proses klasifikasi proses ekstraksi fitur metode mdf penentuan arah garis posisi piksel proses pelatihan data metode learning vector quantization lvq metode menghasilkan bobot proses pengenalan citra huruf tulisan tangan uji coba sistem hasil terbaik pengenalan citra huruf tulisan tangan diperoleh data pelatihan citra data uji coba citra hasil akurasi sistem didapatkan kunci tulisan tangan modified direction feature learning vector quantization, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['pengenalan', 'tulisan', 'tangan', 'topik', 'penelitian', 'populer', 'peneliti', 'usaha', 'usaha', 'sistem', 'pengenalan', 'tulisan', 'tangan', 'otomatis', 'teknik', 'berbeda', 'penelitian', 'membahas', 'pengembangan', 'sistem', 'pengenalan', 'tulisan', 'tangan', 'offline', 'pencirian', 'lokal', 'karakter', 'karakter', 'tulisan', 'tangan', 'salah', 'faktor', 'penentu', 'pengenalan', 'tulisan', 'tangan', 'model', 'bentuk', 'tulisan', 'tangan', 'penulis', 'dikenali', 'penulis', 'memiliki', 'gaya', 'menulis', 'bentuk', 'tulisan', 'tangan', 'berbeda', 'metode', 'pengenalan', 'pola', 'tulisan', 'tangan', 'penelitian', 'modified', 'direction', 'feature', 'mdf', 'proses', 'ekstraksi', 'fitur', 'learning', 'vector', 'quantization', 'lvq', 'proses', 'klasifikasi', 'proses', 'ekstraksi', 'fitur', 'metode', 'mdf', 'penentuan', 'arah', 'garis', 'posisi', 'piksel', 'proses', 'pelatihan', 'data', 'metode', 'learning', 'vector', 'quantization', 'lvq', 'metode', 'menghasilkan', 'bobot', 'proses', 'pengenalan', 'citra', 'huruf', 'tulisan', 'tangan', 'uji', 'coba', 'sistem', 'hasil', 'terbaik', 'pengenalan', 'citra', 'huruf', 'tulisan', 'tangan', 'diperoleh', 'data', 'pelatihan', 'citra', 'data', 'uji', 'coba', 'citra', 'hasil', 'akurasi', 'sistem', 'didapatkan', 'kunci', 'tulisan', 'tangan', 'modified', 'direction', 'feature', 'learning', 'vector', 'quantization']"
PENGENALAN POLA SENYUMAN BERBASIS EKSTRAKSI FITUR PRINCIPAL COMPONENT ANALYSIS (PCA) DAN LINIER DESCRIMINANT ANALYSIS (LDA),SITI KHOLILAH,"RIMA TRI WAHYUNINGRUM, S.T., M.T","HARYANTO, S.T., M.T",citra senyum salah fitur biometrik dijadikan bukti autentik sistem pengenalan pola pattern recognition komputerisasi identitas ciri pengenalan senyum diteliti kalangan salah bentuk penerapan pengenalan pola senyum senyum tinya senyum dikenali komputer disimpan database menentukan pola senyuman manual otomatis manual kasat mata otomatis tentukan sistem tugas mengidentifikasi senyuman otomatis metode principal component analysis pca linier descrimit analysis lda dimana jenis senyuman tugas dibagi senyum manis senyum mengejek senyum dipaksakan senyum tertutup senyum terbuka penggunaan metode ekstraksi fitur efisien menentukan keberhasilan sistem pengenalan pola metode klasifikasi pengenalan pola euclidean distance manhattan distance hasil uji coba gambar data pelatihan didapatkan tingkat akurasi pca ordered hasil uji coba pca lda didapatkan tingkat akurasi ordered, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['citra', 'senyum', 'salah', 'fitur', 'biometrik', 'dijadikan', 'bukti', 'autentik', 'sistem', 'pengenalan', 'pola', 'pattern', 'recognition', 'komputerisasi', 'identitas', 'ciri', 'pengenalan', 'senyum', 'diteliti', 'kalangan', 'salah', 'bentuk', 'penerapan', 'pengenalan', 'pola', 'senyum', 'senyum', 'tinya', 'senyum', 'dikenali', 'komputer', 'disimpan', 'database', 'menentukan', 'pola', 'senyuman', 'manual', 'otomatis', 'manual', 'kasat', 'mata', 'otomatis', 'tentukan', 'sistem', 'tugas', 'mengidentifikasi', 'senyuman', 'otomatis', 'metode', 'principal', 'component', 'analysis', 'pca', 'linier', 'descrimit', 'analysis', 'lda', 'dimana', 'jenis', 'senyuman', 'tugas', 'dibagi', 'senyum', 'manis', 'senyum', 'mengejek', 'senyum', 'dipaksakan', 'senyum', 'tertutup', 'senyum', 'terbuka', 'penggunaan', 'metode', 'ekstraksi', 'fitur', 'efisien', 'menentukan', 'keberhasilan', 'sistem', 'pengenalan', 'pola', 'metode', 'klasifikasi', 'pengenalan', 'pola', 'euclidean', 'distance', 'manhattan', 'distance', 'hasil', 'uji', 'coba', 'gambar', 'data', 'pelatihan', 'didapatkan', 'tingkat', 'akurasi', 'pca', 'ordered', 'hasil', 'uji', 'coba', 'pca', 'lda', 'didapatkan', 'tingkat', 'akurasi', 'ordered']"
SISTEM PEROLEHAN CITRA BERBASIS ISI MENGGUNAKANGRAY LEVEL DIFFERENCE METHOD BERDASARKANCIRI TEKSTUR PADA POLA BATIK,Nansy Lovitasari,"Fitri Damayanti, S.Kom., M.Kom","Rima Tri Wahyuningrum, S.T., M.T",batik keraji memiliki nilai seni budaya indonesia batik indonesia beragam jenis tekstur batik warna batik pola batik mencerminkan usul daerah batik pencarian citra berbasis teks efektif penilaian subjektif pengguna merepresentasikan citra sistem megani pencarian citra query citra sistem perolehan citra berbasis isi spci content based image retrieval cbir penelitian ciri tekstur proses pencarian kemiripan delapan kelas citra batik berbeda cirebon bali bangkalan pamekasan sumenep yogyakarta solo pekalongan objek perolehan citra berbasis isi sistem dibangun proses utamanya ekstraksi fitur tekstur metode gray level difference method gldm arah utama gldm menghitung perbedaan mutlak sepasang derajat keabuan terpisah jarak arah hasil ekstraksi fitur pengukuran jarak kemiripan metode euclidean distance uji coba aplikasi pengukuran kemiripan euclidean distance nilai threshold diperoleh akurasi presisi data pelatihan data uji coba citra ditampilkan, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['batik', 'keraji', 'memiliki', 'nilai', 'seni', 'budaya', 'indonesia', 'batik', 'indonesia', 'beragam', 'jenis', 'tekstur', 'batik', 'warna', 'batik', 'pola', 'batik', 'mencerminkan', 'usul', 'daerah', 'batik', 'pencarian', 'citra', 'berbasis', 'teks', 'efektif', 'penilaian', 'subjektif', 'pengguna', 'merepresentasikan', 'citra', 'sistem', 'megani', 'pencarian', 'citra', 'query', 'citra', 'sistem', 'perolehan', 'citra', 'berbasis', 'isi', 'spci', 'content', 'based', 'image', 'retrieval', 'cbir', 'penelitian', 'ciri', 'tekstur', 'proses', 'pencarian', 'kemiripan', 'delapan', 'kelas', 'citra', 'batik', 'berbeda', 'cirebon', 'bali', 'bangkalan', 'pamekasan', 'sumenep', 'yogyakarta', 'solo', 'pekalongan', 'objek', 'perolehan', 'citra', 'berbasis', 'isi', 'sistem', 'dibangun', 'proses', 'utamanya', 'ekstraksi', 'fitur', 'tekstur', 'metode', 'gray', 'level', 'difference', 'method', 'gldm', 'arah', 'utama', 'gldm', 'menghitung', 'perbedaan', 'mutlak', 'sepasang', 'derajat', 'keabuan', 'terpisah', 'jarak', 'arah', 'hasil', 'ekstraksi', 'fitur', 'pengukuran', 'jarak', 'kemiripan', 'metode', 'euclidean', 'distance', 'uji', 'coba', 'aplikasi', 'pengukuran', 'kemiripan', 'euclidean', 'distance', 'nilai', 'threshold', 'diperoleh', 'akurasi', 'presisi', 'data', 'pelatihan', 'data', 'uji', 'coba', 'citra', 'ditampilkan']"
ONTOLOGY SEMANTIC WEB UNTUK PENCARIAN TUGAS AKHIR PADA SISTEM INFORMASI TUGAS AKHIR(SIMTAK),Daniyar Bagus Prasetya,"Firdaus Solihin S.kom,.M.kom","Kurniawan Eka P. S.kom,.M.sc",kebutuhan pencarian data internet cepat faktor pengguna laya internet sistem informasi tugas simtak fakultas teknik universitas trunojoyo madura membutuhkan pencarian data cepat berdasarkan konteks sistem pencarian dipakai pencarian database dimana hasil pencarian sesuai konteks keywords diinputkan memiliki kebenaran sistem kecerdasan pengetahuan ditangkap diproses ontologi mendukung tugas ontologi spesifikasi konseptualisasi semantik web abstrak representasi world wide web www berbasiskan standar didefinisikan resource description framework rdf ontology web language owl ide dasarnya membawa web memiliki definisi link data efektif mencari otomasi integrasi reuse informasi aplikasi semantik web didefinisikan sekumpulan teknologi dimana komputer memahami arti informasi berdasarkan metadata informasi isi informasi judul pengarang modifikasi tanggal halaman web hak cipta halaman web semantik web pencarian tugas hasil berdasarkan persamaan makna keyword diinputkan user kunci mesin pencari semantic web tugas abstract, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['kebutuhan', 'pencarian', 'data', 'internet', 'cepat', 'faktor', 'pengguna', 'laya', 'internet', 'sistem', 'informasi', 'tugas', 'simtak', 'fakultas', 'teknik', 'universitas', 'trunojoyo', 'madura', 'membutuhkan', 'pencarian', 'data', 'cepat', 'berdasarkan', 'konteks', 'sistem', 'pencarian', 'dipakai', 'pencarian', 'database', 'dimana', 'hasil', 'pencarian', 'sesuai', 'konteks', 'keywords', 'diinputkan', 'memiliki', 'kebenaran', 'sistem', 'kecerdasan', 'pengetahuan', 'ditangkap', 'diproses', 'ontologi', 'mendukung', 'tugas', 'ontologi', 'spesifikasi', 'konseptualisasi', 'semantik', 'web', 'abstrak', 'representasi', 'world', 'wide', 'web', 'www', 'berbasiskan', 'standar', 'didefinisikan', 'resource', 'description', 'framework', 'rdf', 'ontology', 'web', 'language', 'owl', 'ide', 'dasarnya', 'membawa', 'web', 'memiliki', 'definisi', 'link', 'data', 'efektif', 'mencari', 'otomasi', 'integrasi', 'reuse', 'informasi', 'aplikasi', 'semantik', 'web', 'didefinisikan', 'sekumpulan', 'teknologi', 'dimana', 'komputer', 'memahami', 'arti', 'informasi', 'berdasarkan', 'metadata', 'informasi', 'isi', 'informasi', 'judul', 'pengarang', 'modifikasi', 'tanggal', 'halaman', 'web', 'hak', 'cipta', 'halaman', 'web', 'semantik', 'web', 'pencarian', 'tugas', 'hasil', 'berdasarkan', 'persamaan', 'makna', 'keyword', 'diinputkan', 'user', 'kunci', 'mesin', 'pencari', 'semantic', 'web', 'tugas', 'abstract']"
RANCANG BANGUN APLIKASI INTRUSION PREVENTION SYSTEM PADA JARINGAN BERBASIS PROTOKOL TCP/IP MENGGUNAKAN SNORT DAN IPTABLES,BAHRUL ULUM,"Meidya Koeshardianto, S.Si., M.T","Eza Rahmanita, S.T., M.T",perusahaan memiliki data berkaitan kegiatan bisnis dijaga diamankan orang berhak mengaksesnya seringkali muncul aksi ilegal mencoba merusak server mencuri data perusahaan mengakibatkan kesalahan fatal kelancaran kegiatan bisnis perusahaan disebabkan data valid menyikapi sistem monitoring keama mengamankan server tindakan penyusupan intrusion prevention system ips solusi keama jaringan server tindakan penyusupan ips mengembangkan snort fungsi pendeteksi dikombinasikan iptables firewall pencegah penyusupan ips dilengkapi user interface base basic analysis and security engine manajemen rule memudahkan admin memonitor sistem keama tindakan penyusupan jaringan server snort alert terdeteksi serangan disimpan log snort memerintahkan iptables drop alamat penyerang detail serangan tampilan user interface base hasil pengujian didapatkan snort iptables ips respon cepat terdeteksi serangan tanggap detik serangan terdeteksinya alert, Jurusan Teknik Informatika,RPL,"['perusahaan', 'memiliki', 'data', 'berkaitan', 'kegiatan', 'bisnis', 'dijaga', 'diamankan', 'orang', 'berhak', 'mengaksesnya', 'seringkali', 'muncul', 'aksi', 'ilegal', 'mencoba', 'merusak', 'server', 'mencuri', 'data', 'perusahaan', 'mengakibatkan', 'kesalahan', 'fatal', 'kelancaran', 'kegiatan', 'bisnis', 'perusahaan', 'disebabkan', 'data', 'valid', 'menyikapi', 'sistem', 'monitoring', 'keama', 'mengamankan', 'server', 'tindakan', 'penyusupan', 'intrusion', 'prevention', 'system', 'ips', 'solusi', 'keama', 'jaringan', 'server', 'tindakan', 'penyusupan', 'ips', 'mengembangkan', 'snort', 'fungsi', 'pendeteksi', 'dikombinasikan', 'iptables', 'firewall', 'pencegah', 'penyusupan', 'ips', 'dilengkapi', 'user', 'interface', 'base', 'basic', 'analysis', 'and', 'security', 'engine', 'manajemen', 'rule', 'memudahkan', 'admin', 'memonitor', 'sistem', 'keama', 'tindakan', 'penyusupan', 'jaringan', 'server', 'snort', 'alert', 'terdeteksi', 'serangan', 'disimpan', 'log', 'snort', 'memerintahkan', 'iptables', 'drop', 'alamat', 'penyerang', 'detail', 'serangan', 'tampilan', 'user', 'interface', 'base', 'hasil', 'pengujian', 'didapatkan', 'snort', 'iptables', 'ips', 'respon', 'cepat', 'terdeteksi', 'serangan', 'tanggap', 'detik', 'serangan', 'terdeteksinya', 'alert']"
APLIKASI CITRA MOSAIK PANORAMIK MENGGUNAKAN METODE WATERSHED,Sri Rahma Puspa Sari,"Eza Rahmanita, S.T.,M.T.","Meidya Koeshardianto, S.Si.,M.T.",citra digital dimanfaatkan aspek kehidupan membutuhkan tampilan citra merepresentasikan objek citra salah permasalahan pengambilan gambar citra kemampuan mengambil gambar luas gambar diambil kali menyebabkan gambar objeknya terpisah pisah mengatasi permasalahan proses penggabungan citra penelitian metode watershed metode ditentukan titik korespondensi citra kandidat daerah hasil korespondensi disegmen menggunkan metode watershed hasil segmentasinya mencari region cut acuan penggabungan citra proses penggabungan citra dsebut mosaic panoramik hasil penelitian citra panorama ideal dperoleh citra masukan kesamaan obyek titik korespondensi dipilih obyek citra masukan kunci citra panorama mosaikpanoramik metode watershed, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['citra', 'digital', 'dimanfaatkan', 'aspek', 'kehidupan', 'membutuhkan', 'tampilan', 'citra', 'merepresentasikan', 'objek', 'citra', 'salah', 'permasalahan', 'pengambilan', 'gambar', 'citra', 'kemampuan', 'mengambil', 'gambar', 'luas', 'gambar', 'diambil', 'kali', 'menyebabkan', 'gambar', 'objeknya', 'terpisah', 'pisah', 'mengatasi', 'permasalahan', 'proses', 'penggabungan', 'citra', 'penelitian', 'metode', 'watershed', 'metode', 'ditentukan', 'titik', 'korespondensi', 'citra', 'kandidat', 'daerah', 'hasil', 'korespondensi', 'disegmen', 'menggunkan', 'metode', 'watershed', 'hasil', 'segmentasinya', 'mencari', 'region', 'cut', 'acuan', 'penggabungan', 'citra', 'proses', 'penggabungan', 'citra', 'dsebut', 'mosaic', 'panoramik', 'hasil', 'penelitian', 'citra', 'panorama', 'ideal', 'dperoleh', 'citra', 'masukan', 'kesamaan', 'obyek', 'titik', 'korespondensi', 'dipilih', 'obyek', 'citra', 'masukan', 'kunci', 'citra', 'panorama', 'mosaikpanoramik', 'metode', 'watershed']"
ANALISA VALIDITAS PENERIMA BEASISWA MENGGUNAKAN METODE ANALYTIC NETWORK PROCESS DAN TOPSIS,Hilmi Fairuz Abadi,"Bain Khusnul K., S.T., M.Kom.","Firli Irhamni, S.T., M.Kom.",beasiswa pemberian bantuan keuangan perorangan bertujuan keberlangsungan pendidikan ditempuh program beasiswa diadakan meringankan beban mahasiswa menempuh studi kuliah biaya fakultas teknik universitas trunojoyo memiliki program beasiswa berhak menerima beasiswa bantuan belajar mahasiswa bbm beasiwa peningkatan prestasi akademik ppa jenis beasiswa memiliki kriteria faktor bobot berbeda seleksi beasiswa mengalami kesulitan banyaknya pemohon banyaknya kriteria manual mengakibatkan efektifnya keputusan membantu menetapkan layak menerima beasiswa dibutuhkan sistem pendukung keputusan metode penelitian analytic network process anp technique order preference by similarity to ideal solution topsis penelitian diangkat menganalisa validitas alternatif terbaik penerima beasiswa berdasarkan kriteria kriteria ditentukan metode anp dicari solusi pengurutan metode topsis berdasarkan hasil uji coba sistem perbedaan selisih hasil rekomendasi sistem data aktual pemeg beasiswa ppa jurusan informatika selisih hasil rekomendasi sistem data aktual pemeg beasiswa bbm jurusan informatika kunci anp topsis mcdm pengambilan keputusan multi kriteria seleksi beasiswa, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['beasiswa', 'pemberian', 'bantuan', 'keuangan', 'perorangan', 'bertujuan', 'keberlangsungan', 'pendidikan', 'ditempuh', 'program', 'beasiswa', 'diadakan', 'meringankan', 'beban', 'mahasiswa', 'menempuh', 'studi', 'kuliah', 'biaya', 'fakultas', 'teknik', 'universitas', 'trunojoyo', 'memiliki', 'program', 'beasiswa', 'berhak', 'menerima', 'beasiswa', 'bantuan', 'belajar', 'mahasiswa', 'bbm', 'beasiwa', 'peningkatan', 'prestasi', 'akademik', 'ppa', 'jenis', 'beasiswa', 'memiliki', 'kriteria', 'faktor', 'bobot', 'berbeda', 'seleksi', 'beasiswa', 'mengalami', 'kesulitan', 'banyaknya', 'pemohon', 'banyaknya', 'kriteria', 'manual', 'mengakibatkan', 'efektifnya', 'keputusan', 'membantu', 'menetapkan', 'layak', 'menerima', 'beasiswa', 'dibutuhkan', 'sistem', 'pendukung', 'keputusan', 'metode', 'penelitian', 'analytic', 'network', 'process', 'anp', 'technique', 'order', 'preference', 'by', 'similarity', 'to', 'ideal', 'solution', 'topsis', 'penelitian', 'diangkat', 'menganalisa', 'validitas', 'alternatif', 'terbaik', 'penerima', 'beasiswa', 'berdasarkan', 'kriteria', 'kriteria', 'ditentukan', 'metode', 'anp', 'dicari', 'solusi', 'pengurutan', 'metode', 'topsis', 'berdasarkan', 'hasil', 'uji', 'coba', 'sistem', 'perbedaan', 'selisih', 'hasil', 'rekomendasi', 'sistem', 'data', 'aktual', 'pemeg', 'beasiswa', 'ppa', 'jurusan', 'informatika', 'selisih', 'hasil', 'rekomendasi', 'sistem', 'data', 'aktual', 'pemeg', 'beasiswa', 'bbm', 'jurusan', 'informatika', 'kunci', 'anp', 'topsis', 'mcdm', 'pengambilan', 'keputusan', 'multi', 'kriteria', 'seleksi', 'beasiswa']"
SISTEM PERAMALAN PENJUALAN JANGKA PENDEK SPARE PART SEPEDA MOTOR MENGGUNAKAN NEURAL NETWORK(Studi Kasus : Suzuki Kemayoran Bangkalan),Ana Qaimah L.M.D.R,"Mulaâab, S.Si, M.Kom","Fika Hastarita R.,ST, M.Eng",spare part salah pengoperasian mesin sepeda motor peningkatan penjualan spare part terduga proses tune up menyebabkan kesulitan pelaya terbaik konsumen penuru penjualan spare part menyebabkan penumpukan spare part gudang sistem peramalan meramalkan penjualan spare part periode sistem peramalan metode jaringan syaraf tiruan algoritma propagasi momentum meramalkan penjualan spare part data tersimpan dihitung epoh learning rate berbeda hasil uji coba system disimpulkan data data training learning rate epoh menghasilkan tingkat kesalahan, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['spare', 'part', 'salah', 'pengoperasian', 'mesin', 'sepeda', 'motor', 'peningkatan', 'penjualan', 'spare', 'part', 'terduga', 'proses', 'tune', 'up', 'menyebabkan', 'kesulitan', 'pelaya', 'terbaik', 'konsumen', 'penuru', 'penjualan', 'spare', 'part', 'menyebabkan', 'penumpukan', 'spare', 'part', 'gudang', 'sistem', 'peramalan', 'meramalkan', 'penjualan', 'spare', 'part', 'periode', 'sistem', 'peramalan', 'metode', 'jaringan', 'syaraf', 'tiruan', 'algoritma', 'propagasi', 'momentum', 'meramalkan', 'penjualan', 'spare', 'part', 'data', 'tersimpan', 'dihitung', 'epoh', 'learning', 'rate', 'berbeda', 'hasil', 'uji', 'coba', 'system', 'disimpulkan', 'data', 'data', 'training', 'learning', 'rate', 'epoh', 'menghasilkan', 'tingkat', 'kesalahan']"
PENGEMBANGAN MESIN PENCARIAN ANTIPLAGIASI PADA SIM JURNAL MAHASISWA MENGGUNAKAN ALGORITMA WINNOWING FUZZY K-MEANS,ilham wibisono aziz,"Hermawan S.T.,M.Kom","Andharini Dwi Cahyani S.Kom.,M.Kom",penjiplakan muncul berkembang bidang pendidikan karya tulis isinya menjiplak karya tulis orang mengatasi salah satunya solusinya aplikasi mengelompokan dokumen mendeteksi penjiplakan dokumen tugas aplikasi mendeteksi penjiplakan dokumen membandingkan dokumen pendeteksian penjiplakan dokumen algoritma winnowing algoritma winnowing berfungsi proses dokumen fingerprint merubah teks sekumpulan nilai nilai hash nilai hash mendeteksi tingkat kesamaan dokumen pengelompokan dokumen algoritma fuzzy k means hasil uji coba aplikasi diambil kesimpulan nilai n gram basis window hasil prosentase kemiripan dokumen menghasilkan nilai n gram basis window prosentase kemiripan dokumen menghasilkan prosentase perhitungan nilai f measure dipengaruhi keakuratan data diproses kunci deteksi penjiplakan cluster f measure, Jurusan Teknik Informatika,Kecerdasan Komputasional,"['penjiplakan', 'muncul', 'berkembang', 'bidang', 'pendidikan', 'karya', 'tulis', 'isinya', 'menjiplak', 'karya', 'tulis', 'orang', 'mengatasi', 'salah', 'satunya', 'solusinya', 'aplikasi', 'mengelompokan', 'dokumen', 'mendeteksi', 'penjiplakan', 'dokumen', 'tugas', 'aplikasi', 'mendeteksi', 'penjiplakan', 'dokumen', 'membandingkan', 'dokumen', 'pendeteksian', 'penjiplakan', 'dokumen', 'algoritma', 'winnowing', 'algoritma', 'winnowing', 'berfungsi', 'proses', 'dokumen', 'fingerprint', 'merubah', 'teks', 'sekumpulan', 'nilai', 'nilai', 'hash', 'nilai', 'hash', 'mendeteksi', 'tingkat', 'kesamaan', 'dokumen', 'pengelompokan', 'dokumen', 'algoritma', 'fuzzy', 'k', 'means', 'hasil', 'uji', 'coba', 'aplikasi', 'diambil', 'kesimpulan', 'nilai', 'n', 'gram', 'basis', 'window', 'hasil', 'prosentase', 'kemiripan', 'dokumen', 'menghasilkan', 'nilai', 'n', 'gram', 'basis', 'window', 'prosentase', 'kemiripan', 'dokumen', 'menghasilkan', 'prosentase', 'perhitungan', 'nilai', 'f', 'measure', 'dipengaruhi', 'keakuratan', 'data', 'diproses', 'kunci', 'deteksi', 'penjiplakan', 'cluster', 'f', 'measure']"
